date,portfolio_value,market_state,position_ratio,holdings,peak,drawdown
20200102,10000.0,bull,1.0,"600739.SH,000100.SZ,300070.SZ,601166.SH,600641.SH,601186.SH,600409.SH,600177.SH,601668.SH,600068.SH,002236.SZ,000425.SZ,600208.SH,000581.SZ,000776.SZ,300088.SZ,601138.SH,002027.SZ,000895.SZ,000034.SZ",10000.0,0.0
20200122,9910.318132637494,neutral,1.0,"000636.SZ,002635.SZ,000823.SZ,002048.SZ,600330.SH,600515.SH,601138.SH,000100.SZ,603993.SH,600487.SH,601111.SH,002217.SZ,600884.SH,002065.SZ,002745.SZ,600016.SH,002212.SZ,600699.SH,601166.SH,300088.SZ",10000.0,-0.8968186736250572
20200219,9775.070243324277,neutral,1.0,"002217.SZ,601988.SH,000823.SZ,600893.SH,601222.SH,601111.SH,601288.SH,000936.SZ,002237.SZ,002413.SZ,600515.SH,600580.SH,300232.SZ,000540.SZ,300274.SZ,000728.SZ,002304.SZ,600160.SH,300070.SZ,600522.SH",10000.0,-2.2492975667572317
20200310,8413.984820919779,neutral,1.0,"002217.SZ,000636.SZ,000100.SZ,300098.SZ,600522.SH,601186.SH,600879.SH,600487.SH,601668.SH,601800.SH,601328.SH,002635.SZ,300166.SZ,300296.SZ,600016.SH,600667.SH,002413.SZ,000776.SZ,600109.SH,600641.SH",10000.0,-15.86015179080221
20200330,8678.344219859797,bear,1.0,"600089.SH,000639.SZ,002217.SZ,601328.SH,600016.SH,300098.SZ,601186.SH,601668.SH,600068.SH,300194.SZ,600633.SH,600522.SH,603858.SH,601800.SH,000776.SZ,600449.SH,600015.SH,601211.SH,600073.SH,000636.SZ",10000.0,-13.216557801402033
20200420,8740.005133330065,bull,1.0,"600522.SH,002382.SZ,002223.SZ,002400.SZ,000876.SZ,600879.SH,601336.SH,002022.SZ,000930.SZ,000158.SZ,000016.SZ,600196.SH,000034.SZ,000975.SZ,300383.SZ,000519.SZ,601186.SH,002233.SZ,002185.SZ,000977.SZ",10000.0,-12.599948666699348
20200513,8730.35888104876,bull,1.0,"600089.SH,002152.SZ,000034.SZ,601636.SH,002429.SZ,600143.SH,300326.SZ,600811.SH,600312.SH,000877.SZ,000876.SZ,603858.SH,002498.SZ,601179.SH,000636.SZ,600597.SH,600260.SH,000021.SZ,600109.SH,601137.SH",10000.0,-12.6964111895124
20200602,8900.42781473152,neutral,1.0,"600016.SH,603858.SH,002299.SZ,000100.SZ,601668.SH,300433.SZ,002106.SZ,600089.SH,600782.SH,002425.SZ,002236.SZ,600109.SH,601233.SH,601818.SH,300088.SZ,002373.SZ,002745.SZ,601328.SH,002449.SZ,601908.SH",10000.0,-10.9957218526848
20200622,10235.044776040968,bull,1.0,"600827.SH,300020.SZ,600999.SH,601688.SH,601881.SH,000100.SZ,002425.SZ,002106.SZ,000776.SZ,600109.SH,000166.SZ,002299.SZ,601211.SH,002025.SZ,002236.SZ,002100.SZ,000519.SZ,601012.SH,002152.SZ,600702.SH",10235.044776040968,0.0
20200714,9822.154603513749,bull,1.0,"000963.SZ,600037.SH,002425.SZ,600702.SH,603609.SH,002106.SZ,600109.SH,601012.SH,000166.SZ,601108.SH,600886.SH,603858.SH,600594.SH,300124.SZ,000799.SZ,600711.SH,000869.SZ,601878.SH,600676.SH,601222.SH",10235.044776040968,-4.0340827183652985
